artist,genre,Start,End,Location,Hotttnesss,Discovery,Familiarity
Fluid Dynamics,a cappella,"Pasadena, CA",9999,9999,0.273129,0.146468,0.0753997817085313
James Madison University Low Key,a cappella,none,9999,9999,0.096947,0.381777,0.01262658429391866
Artisan,a cappella,"England, GB",1984,2005,0.319206,0.378056,0.3618868329892912
Yellow Sisters,a cappella,"Prague, Prague, CZ",9999,9999,0.329972,0.38,0.36374768959077663
Tufts University Beelzebubs,a cappella,"Tufts University    Medford, MA",9999,9999,0.331501,0.371695,0.046271337514033506
Boyz Nite Out,a cappella,"Sacramento, CA, US",1990,2000,0.284142,0.368814,0.35304010628613863
Vocaldente,a cappella,"Hanover, Lower Saxony, DE",2004,9999,0.314265,0.353429,0.3383131110115226
Brandeis University VoiceMale,a cappella,none,9999,9999,0.089844,0.353499,0.012256688772929725
Chor Leoni Men's Choir,a cappella,none,1992,9999,0.307953,0.366152,0.35049195799747906
The Mighty Echoes,a cappella,"Los Angeles, CA, US",1987,9999,0.313019,0.365784,0.3501396970770333
Standing Room Only,a cappella,"Los Angeles, CA, US",9999,9999,0.364036,0.357128,0.3418539076004602
Vocal Sampling,a cappella,"Havana, Ciudad de la Habana, CU",1990,2010,0.368574,0.439486,0.42068951870392646
University of Virginia Hullabahoos,a cappella,none,9999,9999,0.164864,0.412929,0.39526834135534156
The Brown Derbies,a cappella,"Providence, RI, US",1982,9999,0.336707,0.429687,0.4113096144662948
Riltons Vänner,a cappella,"Stockholm, Stockholm, SE",2000,2010,0.280013,0.425218,0.4070317501905549
University of North Carolina Clef Hangers,a cappella,United States,9999,9999,0.208572,0.403635,0.3863718386525609
Dokaka,a cappella,Japan,2000,9999,0.360029,0.405215,0.3878842632566488
The Naturals,a cappella,United States,2000,2000,0.392517,0.397005,0.3800253986999639
Black Voices,a cappella,"Starkville, MS, US",1990,2010,0.298485,0.334364,0.3200635065324485
The Whiffenpoofs,a cappella,"New Haven, CT, US",1909,9999,0.349418,0.493825,0.47270448108464547
Sweet Honey in the Rock,a cappella,"Washington, DC, US",1973,9999,0.484227,0.481821,0.4103127984901801
Acoustix,a cappella,"Dallas, TX, US",1990,2000,0.357666,0.451188,0.4318910330817982
Jerry Lawson,a cappella,"San Francisco, CA, US",1969,9999,0.314466,0.458057,0.43846625118653254
Go Fish,a cappella,"Minnesota, US",1998,9999,0.399696,0.494388,0.4732434020036971
Hullabahoos,a cappella,University of Virginia,1987,9999,0.350464,0.4907,0.4697131349531424
Take 6,a cappella,"Huntsville, AL, US",1987,9999,0.558949,0.478549,0.36498485311820683
The Hyannis Sound,a cappella,"Hyannis, MA, US",1994,9999,0.30034,0.47742,0.4570011104327068
Miranda Sex Garden,a cappella,"London, ",1990,2000,0.470287,0.503464,0.4372932301406995
Bjelleklang,a cappella,"Lorenskog, Akershus Fylke, NO",1986,9999,0.319396,0.496752,0.47550629552525653
The Singers Unlimited,a cappella,United States,1970,1990,0.41016,0.486967,0.45971540589307935
Pow woW,a cappella,France,1990,2000,0.317792,0.492359,0.4713011807874347
Pentatonix,a cappella,"Arlington, TX",2011,9999,0.585164,0.854322,0.6253865375318121
Chanticleer,a cappella,"San Francisco, CA, US",1970,9999,0.481932,0.527896,0.4510197897216474
Comedian Harmonists,a cappella,Germany,1927,1934,0.429954,0.508331,0.4670223257599264
The Persuasions,a cappella,"Brooklyn, New York, NY, US",1969,9999,0.488797,0.507267,0.4291754655923869
DBSK,a cappella,"Seoul, South Korea",2003,9999,0.492998,0.516226,0.43413660126534576
Cantus,a cappella,"Minneapolis, MN, US",2000,9999,0.434097,0.512872,0.4685099805152127
Perpetuum Jazzile,a cappella,"Ljubljana, Slovenia",1983,9999,0.388881,0.515376,0.49333376123825284
The Hilliard Ensemble,a cappella,UK,1974,2014,0.372524,0.504014,0.48245770531948867
Voices in Your Head,a cappella,"University of Chicago, Chicago, IL, US",1998,9999,0.374117,0.520825,0.4985497116608322
Basta,a cappella,"Cologne, Germany",2000,9999,0.504934,0.58547,0.483970747067468
Bobby McFerrin,a cappella,"Manhattan, New York, NY, US",1977,9999,0.650002,0.580103,0.38074376166064605
GLAD,a cappella,"Pennsylvania, US",1972,9999,0.50802,0.615363,0.5064084044338364
Mediæval Bæbes,a cappella,"London, England, GB",1997,9999,0.421861,0.541182,0.5027692635922991
東方神起,a cappella,South Korea,2003,9999,0.503878,0.733456,0.6072294156069696
Home Free,a cappella,"Minnesota, US",2000,9999,0.4578,0.638987,0.5648163909030745
The Swingle Singers,a cappella,"London, England, GB",1962,9999,0.505656,0.548596,0.4530149792088853
ゴスペラーズ,a cappella,Japan,1991,9999,0.343438,0.624105,0.597412504768557
Peter Hollens,a cappella,"Eugene, OR, US",2002,9999,0.423073,0.600895,0.5573153046934621
Vox One,a cappella,"Boston, MA, US",1990,2010,0.32777,0.3267,0.3127272899718598
Die Singphoniker,a cappella,"Munich, Bavaria, DE",1980,9999,0.284168,0.308189,0.29500799133497857
University of North Carolina Loreleis,a cappella,none,9999,9999,0.097638,0.417812,0.3999424991665831
Dynamics,a cappella,"High Wycombe, England, GB",9999,9999,0.361855,0.3622,0.346708982025735
4TET,a cappella,"Prague, Prague, CZ",2002,9999,0.339341,0.360911,0.15536148133162378
Swan Arcade,a cappella,"Yorkshire, England, GB",1983,1988,0.294383,0.361654,0.3461863340296388
Tufts University Amalgamates,a cappella,none,9999,9999,0.090559,0.328516,0.34514199526820843
Special Feature,a cappella,"Saskatoon, Saskatchewan, CA",9999,9999,0.311932,0.328291,0.31425024411433067
Bank Street,a cappella,none,1990,1990,0.289776,0.308347,0.2951592337953874
Ensemble Amarcord,a cappella,"Leipzig, Germany",1992,9999,0.212034,0.280452,0.2684572816871381
Connecticut College Co Co Beaux,a cappella,none,9999,9999,0.073051,0.296775,0.28408215941658616
Lager Rhythms,a cappella,"Houston, TX, US",9999,9999,0.239514,0.286267,0.27402357856863907
Noorkuu,a cappella,none,1999,9999,0.300351,0.323409,0.09571285679304208
Calmus Ensemble Leipzig,a cappella,"Leipzig, Saxony, DE",1999,9999,0.167776,0.321834,0.3080694050835737
Streetnix,a cappella,"Saskatoon, Saskatchewan, CA",1991,2002,0.209117,0.269989,0.2584417762234847
Elon University Twisted Measure,a cappella,none,9999,9999,0.080259,0.127926,0.0
University of Richmond Octaves,a cappella,"University of Richmond, Richmond, VA, US",1990,9999,0.15642,0.099041,0.02859964155821199
The Friars,a cappella,"Ann Arbor, MI",9999,9999,0.285243,0.247472,0.0917740128234127
A'Cappella ExpreSSS,a cappella,Moscow Russia,2002,9999,0.242597,0.245068,0.12624667476399182
North Cape,a cappella,United Kingdom,9999,9999,0.265608,0.249387,0.3053001364888734
Amalgamates,a cappella,"Medford, MA, US",1984,9999,0.275635,0.252942,0.24212386342229006
180 Gs,a cappella,"Austin, TX, US",1970,9999,0.227119,0.257749,0.07863459373141717
The Stanford Harmonics,a cappella,"San Francisco, CA, US",9999,9999,0.283866,0.218879,0.20951771197352526
Middlebury College Dissipated Eight,a cappella,none,9999,9999,0.131017,0.163088,0.143623860773394
Stanford University Counterpoint,a cappella,none,9999,9999,0.070512,0.128927,0.007712142779153947
Stanford University Everyday People,a cappella,none,9999,9999,0.149402,0.133188,0.03508896379768629
The Tulsa Tradition,a cappella,none,9999,9999,0.168599,0.111977,0.10718782904554314
University of Virginia Hoos in Treble,a cappella,none,1999,9999,0.046331,0.118656,0.014960165970046863
The Obertones,a cappella,"Oberlin, OH",9999,9999,0.234676,0.218424,0.20908217197677842
Sweet Adelines,a cappella,"Tulsa, Oklahoma",1945,9999,0.259662,0.180199,0.13367730963043464
Talisman a Cappella,a cappella,California - SF,9999,9999,0.16036,0.184289,0.10076456932745226
Carleton Singing Knights,a cappella,"Northfield,Minnesota,United States",9999,9999,0.216939,0.212672,0.14507183420283562
University of Michigan Amazin' Blue,a cappella,"Ann Arbor, MI, US",9999,9999,0.25269,0.192208,0.0764196270548474
Stanford University Harmonics,a cappella,none,9999,9999,0.099245,0.181194,0.015966843415993675
Duke University Out of the Blue,a cappella,none,9999,9999,0.079293,0.13761,0.010152099508891876
Tufts University Shir Appeal,a cappella,none,9999,9999,0.072312,0.121177,0.007964852495389828
Mediæval Babes,a cappella,England,1997,9999,0.183818,0.115072,0.0473073849240967
Dartmouth College Cords,a cappella,none,9999,9999,0.051975,0.106751,0.016614500545212105
James Madison University Project,a cappella,none,1996,9999,0.072476,0.112027,0.0
Stanford University Mixed Company,a cappella,none,9999,9999,0.082709,0.204801,0.05244402396124037
Similar Jones,a cappella,"Boston, MA",9999,9999,0.235989,0.202257,0.0459186354619126
Persuations,a cappella,none,9999,9999,0.110016,0.097967,0.01887866329826431
The Wicked Pitches,a cappella,"Windham, ME, US",9999,9999,0.109801,0.259076,0.24799551691689484
Artistes Unlimited,a cappella,none,9999,9999,0.297588,0.224415,0.10569551162295192
University of Southern California Sirens,a cappella,"Los Angeles, CA, US",9999,9999,0.216523,0.209495,0.057433024203297864
The Singing Saints,a cappella,"New York, NY, US",9999,9999,0.227381,0.152706,0.14617488075433985
Clemson University TakeNote,a cappella,none,9999,9999,0.090643,0.14474,0.07141559042137327
Vokalgruppe VIP,a cappella,"Dresden, Germany",9999,9999,0.280083,0.142969,0.08389399191162444
TetVocal,a cappella,Portugal,9999,9999,0.180551,0.155526,0.06635534895558724
Inner Voices,a cappella,"Los Angeles, CA, US",1990,2010,0.287302,0.414509,0.39678076595942957
Hi-Lo's,a cappella,"Wisconsin, US",1953,9999,0.35421,0.392271,0.37549386827227244
Octarium,a cappella,"Kansas City, MO, US",2003,9999,0.300654,0.378337,0.36215581483343595
Mechanicy Szanty,a cappella,none,1985,9999,0.267718,0.401735,0.2135896231645908
A Capella,a cappella,"Paris, TN, US",1982,9999,0.431894,0.408071,0.37390864370734755
Fundamentally Sound,a cappella,none,2005,9999,0.273165,0.407492,0.39006387770190726
XIV Hours,a cappella,"North Carolina, US",9999,9999,0.234391,0.401493,0.38432145036018334
Green Envy,a cappella,"Mississippi, US",9999,9999,0.218091,0.400956,0.3838074174409459
USC Reverse Osmosis,a cappella,University of Southern California,2001,9999,0.237598,0.378936,0.0
Frölein Da Capo,a cappella,"Willisau Stadt, Canton of Lucerne, CH",9999,9999,0.297506,0.380183,0.36392286282023745
Raagapella,a cappella,none,2002,9999,0.313412,0.383757,0.36734400556391494
Northern Harmony,a cappella,none,9999,9999,0.260973,0.387733,0.37114995507394893
Chapter 6,a cappella,"Bloomington, IN, US",9999,9999,0.33245,0.386877,0.37033056554160765
Wellesley College Tupelos,a cappella,"Wellesley, MA, US",9999,9999,0.275903,0.386654,0.37011710308166357
Sassafrass,a cappella,"Alabama, US",9999,9999,0.33354,0.375159,0.35911373547154257
The Ritz,a cappella,"Osterøy Kommune, Hordaland Fylke, NO",1984,2004,0.284566,0.38203,0.36569086803780104
praise-apella,a cappella,"Cleveland, OH, US",9999,9999,0.300662,0.382713,0.3663446566483024
Seattle Pro Musica,a cappella,"Seattle, WA, US",1972,9999,0.279374,0.382101,0.3657588314219088
InPulse,a cappella,"Minneapolis, MN, US",9999,9999,0.312607,0.405128,0.38780098418034775
Reprise,a cappella,"Utah, US",9999,9999,0.331809,0.372525,0.35659238964422124
Tadhg Cooke,a cappella,"Dublin, Dublin, IE",2005,9999,0.331277,0.370169,0.3543371539687584
Bluegrass Student Union,a cappella,none,1973,2007,0.260351,0.358902,0.3435520349723919
Perły i Łotry,a cappella,none,9999,9999,0.241379,0.360565,0.25131610998891013
Ensemble Venance Fortunat,a cappella,none,9999,9999,0.140348,0.353281,0.33817144085873463
Tom Lewis,a cappella,"Ontario, CA",1990,2010,0.292047,0.352391,0.33731950548048256
Boca,a cappella,"Grosse Pointe Park, MI, US",1990,2000,0.506299,0.365626,0.3016420871019216
Michigan Jake,a cappella,none,1995,2004,0.242374,0.362875,0.3473551127901397
Philomela,a cappella,"Helsinki, Uusimaa, FI",1984,9999,0.316155,0.367157,0.3514539749133705
Dartmouth College Aires,a cappella,none,9999,9999,0.286568,0.356618,0.21401458456387323
Marquis,a cappella,"Egersund, Rogaland Fylke, NO",1990,2010,0.419655,0.357696,0.33331477814198046
True Image,a cappella,"Holly Springs, MS, US",9999,9999,0.203746,0.35457,0.339405311311057
University of Virginia Sil'hooettes,a cappella,none,9999,9999,0.097491,0.354708,0.3395374091562242
The Klein Four,a cappella,none,9999,9999,0.276315,0.423906,0.40577586343070465
The Rusty Pipes,a cappella,"Troy, NY, US",9999,9999,0.276798,0.42432,0.4061721569662061
SoCal Vocals,a cappella,"Los Angeles, CA, US",1995,9999,0.298203,0.455445,0.435965964435977
Cornell Chordials,a cappella,"New York, NY, US",9999,9999,0.230462,0.436462,0.4177948528793936
James Madison University Exit 245,a cappella,none,9999,9999,0.098767,0.429633,0.4112579240051425
Puppini Sisters,a cappella,"London, England, GB",2004,9999,0.388727,0.429445,0.4110779646218713
Die Gerd Show,a cappella,Germany,1999,2005,0.206738,0.428195,0.40988142616927
Füenf,a cappella,"Stuttgart, Baden-Wurttemberg, DE",1995,9999,0.303617,0.427845,0.4095463954025416
The Gas House Gang,a cappella,United States,1987,2005,0.298424,0.415959,0.398168750564447
MICappella,a cappella,Singapore,2009,9999,0.284071,0.416329,0.39852292594641703
Bare Naked Statues,a cappella,none,2000,9999,0.194915,0.423278,0.4051747225121177
University of Rochester Midnight Ramblers,a cappella,"University of Rochester, Rochester, NY, US",1998,9999,0.279233,0.420027,0.4020627653045925
Kamal Uddin,a cappella,Hyde Tameside Greater Manchester England,2005,9999,0.264763,0.435396,0.41677444488701526
mëdlz,a cappella,"Dresden, Saxony, DE",2005,9999,0.305055,0.42867,0.4103361107812585
Reverse Osmosis,a cappella,"Los Angeles, CA, US",2000,2010,0.338799,0.413005,0.39534109089325975
Hyperpotamus,a cappella,"London, England, GB",9999,9999,0.38125,0.414289,0.3965701751917718
Take It Slo,a cappella,"San Luis Obispo, CA, US",9999,9999,0.279714,0.390748,0.3740360058216231
Not Too Sharp,a cappella,"Durham, New Hampshire",2002,9999,0.290768,0.403453,0.38619762265386215
Pinay,a cappella,"Altamonte Springs, FL, US",1990,2010,0.361102,0.405853,0.3884949764828565
The Vibes,a cappella,"London, Ontario, CA",1990,2010,0.390308,0.400727,0.38358821159642936
fii,a cappella,Austria,9999,9999,0.384581,0.405214,0.3878833060258868
Sons of Pitches,a cappella,"New York, NY, US",9999,9999,0.247477,0.404083,0.38680067803397317
Toxic Audio,a cappella,"Orlando, FL, US",1990,2010,0.316258,0.41326,0.39558518473759047
Spiralmouth,a cappella,United States,9999,9999,0.282423,0.411637,0.19524994839992582
David Hykes and The Harmonic Choir,a cappella,"Long Island, NY, US",9999,9999,0.250661,0.411608,0.3940038395186326
The Buffalo Chips,a cappella,Germany,9999,9999,0.261127,0.412664,0.3950146752033901
Duwende,a cappella,"New York, NY, US",2000,2010,0.334044,0.412337,0.39470166074418966
AVB,a cappella,United States,2010,9999,0.357047,0.409701,0.39217840045534413
De Wanderer,a cappella,Germany,9999,9999,0.088925,0.395911,0.3789781882462473
Zulal,a cappella,"New York, NY, US",2002,9999,0.304292,0.395642,0.3787206931712475
Chorallaries of M.I.T.,a cappella,"Cambridge, MA, US",9999,9999,0.143207,0.388615,0.37199423260610437
PennYo,a cappella,"University of Pennsylvania, Philadelphia, PA, US",2002,9999,0.269882,0.393802,0.37695938856901845
Dhamakapella,a cappella,"Cleveland, OH, US",2005,9999,0.262735,0.39435,0.37748395102663884
Chi Rho,a cappella,"Phoenix, AZ, US",2000,2010,0.288043,0.394466,0.37759498979504025
University of Michigan Dicks and Janes,a cappella,none,9999,9999,0.079474,0.3924,0.3756173510405809
Douglas Frank Chorale,a cappella,"New York, NY, US",9999,9999,0.201114,0.346216,0.33140860552463247
Magevet,a cappella,"Yale University, New Haven, CT, US",1993,9999,0.233995,0.347744,0.3328712541290922
The Trojan Men,a cappella,"University of Southern California, Los Angeles, CA, US",2005,9999,0.28066,0.344826,0.33007805476533986
DoubleTake,a cappella,"Basildon, England, GB",1993,9999,0.286717,0.334864,0.13827781537191175
139th Street Quartet,a cappella,none,9999,9999,0.172376,0.335429,0.3210829572940648
Village Harmony,a cappella,"Marshfield, WI, US",9999,9999,0.243504,0.334958,0.3206321016051246
The Devil's Interval,a cappella,"Newcastle, England",2000,2000,0.255898,0.336594,0.3221981311318891
Keepsake,a cappella,"Coral Springs, FL, US",1997,2003,0.436734,0.481635,0.43837542601139506
Kyiv Chamber Choir,a cappella,Ukraine,1990,9999,0.269887,0.458636,0.43902048779777747
AudioFeels,a cappella,Poland,2007,9999,0.383814,0.468179,0.4481553409603164
University of Wisconsin Madhatters,a cappella,"Wisconsin, US",9999,9999,0.263491,0.455179,0.4357113410532635
Madison Project,a cappella,"Rancho Cordova, CA, US",9999,9999,0.289658,0.456364,0.4368456595063294
Divisi,a cappella,"Oregon, US",9999,9999,0.334582,0.460958,0.4412431776273295
Clair De Lune,a cappella,"Minneapolis, MN, US",2004,9999,0.409269,0.462657,0.4372984030383357
Hallal Music,a cappella,"Tennessee, US",9999,9999,0.099168,0.462968,0.4431672114591123
The Blenders,a cappella,"North Dakota, US",1990,2010,0.390758,0.465036,0.44514676467509584
Exit 245,a cappella,"Harrisonburg, VA, US",9999,9999,0.296414,0.463006,0.4432035862280714
4Ever,a cappella,"Un', Sverdlovsk Oblast, RU",9999,9999,0.480279,0.466471,0.3994768134218503
The Virginia Gentlemen,a cappella,University of Virginia,1953,9999,0.319678,0.447242,0.4281138004946266
Vocal Line,a cappella,"Århus, Denmark",1991,9999,0.358213,0.44555,0.42649416604518564
AQUABELLA,a cappella,"Berlin, Berlin, DE",9999,9999,0.284897,0.444116,0.42512149713236147
The Sweptaways,a cappella,"Stockholm, Stockholm, SE",9999,9999,0.311246,0.447619,0.42847467649193116
Georgy Sviridov,a cappella,none,9999,9999,0.311093,0.450047,0.43079883278226383
The Hi-Lo's,a cappella,"Hollywood, CA",1953,9999,0.393947,0.448875,0.4296769583291049
At Last,a cappella,"Los Angeles, CA, US",2002,2006,0.351545,0.454398,0.43496374382807823
OC Times,a cappella,"Los Angeles, CA, US",2003,9999,0.334281,0.452119,0.43278221492129565
The Cambridge Singers,a cappella,none,1980,9999,0.345359,0.458697,0.43907887887426444
The Watersons,a cappella,United Kingdom,1970,2000,0.449868,0.459985,0.41111468434394954
The MIT Logarhythms,a cappella,"Boston, MA, US",9999,9999,0.204314,0.442806,0.42386752483403534
Netherlands Chamber Choir,a cappella,Netherlands,9999,9999,0.279316,0.445528,0.42647310696841984
LaLeLu,a cappella,none,1995,9999,0.12891,0.461615,0.4418720782380167
Street Corner Symphony,a cappella,"Nashville, TN, US",2010,9999,0.421431,0.497619,0.4625713809633502
Noteworthy,a cappella,"Athens, Attica, GR",2000,9999,0.350829,0.493314,0.47221533616522204
The Harvard Opportunes,a cappella,"Boston, MA, US",9999,9999,0.309969,0.492314,0.47125810540314106
University of Rochester Yellowjackets,a cappella,"Rochester, NY, US",1956,9999,0.33949,0.487393,0.4665475728229405
The Benedictine Monks of Santo Domingo de Silos,a cappella,"Bloomington,Indiana",1982,9999,0.334586,0.483135,0.46247168423799967
Bauchklang,a cappella,"Vienna, Austria",1995,9999,0.390699,0.473568,0.4533138575371708
Capella Gregoriana,a cappella,"Lisbon, Lisbon, PT",2000,9999,0.301602,0.502672,0.481173101636776
Seminaarinmäen mieslaulajat,a cappella,none,1989,9999,0.3441,0.502788,0.4812841404051774
Chai-Town,a cappella,"Un', Sverdlovsk Oblast, RU",2001,9999,0.317042,0.501316,0.4798750967233941
Off the Beat,a cappella,"Philadelphia, PA, US",1980,2010,0.33619,0.47094,0.450798255094422
Afro Blue,a cappella,"Cincinnati, OH, US",9999,9999,0.364116,0.468675,0.44863012741830854
The Tallis Scholars,a cappella,"Oxford, England",1970,9999,0.412263,0.487402,0.45880395382954453
InsideOut A cappella,a cappella,"Salt Lake City, UT, US",1999,9999,0.277636,0.495348,0.4741623435352948
The Puppini Sisters,a cappella,"England, GB",2004,9999,0.491901,0.563029,0.47424217166550175
Mainstreet,a cappella,"Detroit, MI, US",2011,9999,0.403319,0.531649,0.5066108586346426
Acappella,a cappella,"Paris, TN",1982,9999,0.535001,0.52695,0.41675271303878547
The Fairfield Four,a cappella,"Nashville, TN, US",1921,9999,0.463688,0.509863,0.4469795832683362
The Golden Gate Quartet,a cappella,"Norfolk, VA, US",1934,9999,0.444534,0.511697,0.4607344158086904
Viva Voce,a cappella,"Muscle Shoals, AL",1998,2013,0.492633,0.509001,0.42828458557773974
Maccabeats,a cappella,"New York, NY, US",2007,2010,0.279587,0.507653,0.48594106806270143
The Mills Brothers,a cappella,"Piqua, OH, US",1928,1982,0.567439,0.529854,0.39884388964226747
The Sixteen,a cappella,UK,1980,9999,0.478957,0.524501,0.4500158842594393
On the Rocks,a cappella,"Eugene, OR",1999,9999,0.386079,0.526495,0.5039772100818315
Zain Bhikha,a cappella,South Africa,1990,9999,0.432203,0.575523,0.5271174575850949
Eric Whitacre,a cappella,"Reno, NV",1990,9999,0.543264,0.570507,0.44563860369690245
The Futureheads,a cappella,"Sunderland, England",2000,9999,0.598759,0.559266,0.40052821544094325
Scott Hoying,a cappella,"Texas, US",2011,9999,0.450313,0.551029,0.4921809974825705
Chumbawamba,a cappella,"Burnley, England",1980,2012,0.556579,0.620546,0.4750100919407679
The Manhattan Transfer,a cappella,"New York, NY, US",1972,9999,0.580507,0.610054,0.4498929739260761
Naturally 7,a cappella,"New York, NY, US",1999,9999,0.452081,0.541885,0.4828234612677918
BYU Vocal Point,a cappella,"Utah, US",1991,9999,0.400222,0.573713,0.5490094344828274
Boyz II Men,a cappella,"Philadelphia, PA, US",1988,9999,0.717402,0.657275,0.3787860063385228
*NSync,a cappella,"Orlando, FL",1995,2002,0.651443,0.645206,0.4223834939616271
Retrocity,a cappella,"Ontario, CA",9999,9999,0.223355,0.293895,0.2813253348217929
5idelity,a cappella,"Ilmenau, Thuringia, DE",9999,9999,0.276096,0.292187,0.2796903846801585
Ars Nova Copenhagen,a cappella,"Copenhagen, Hovedstaden, DK",9999,9999,0.335656,0.315171,0.30169137651582806
Muldoon's Picnic,a cappella,"Glasgow, Scotland, GB",2000,9999,0.24728,0.309602,0.29636055840179903
The Symbols,a cappella,"Essex, England, GB",1965,1974,0.313873,0.414819,0.39707750749567466
Bates College Crosstones,a cappella,"Bates College, Lewiston, ME, US",1996,9999,0.26153,0.417182,0.399339443786472
Persuasions,a cappella,Brooklyn New York United States,1969,9999,0.362391,0.381348,0.36503803665806184
Conspiracy of Beards,a cappella,"San Francisco, CA, US",2003,9999,0.272627,0.351209,0.3361880587197028
Seattle Sound,a cappella,"Sydney, New South Wales, AU",9999,9999,0.377596,0.346077,0.3312755504487032
Sean Altman,a cappella,"Riverdale, New York, NY, US",1986,9999,0.291177,0.373423,0.35745198286856994
The Bobolinks,a cappella,"Middlebury, VT, US",9999,9999,0.145263,0.367177,0.35147311952861204
By Design,a cappella,"Cape Cod, MA, US",9999,9999,0.281281,0.368945,0.3531655035159713
Boston College Bostonians,a cappella,"Chestnut Hill, MA",9999,9999,0.273173,0.367546,0.1766321990747451
